Time (h)	Temperature (K)	Fission rate (fiss/m3-s)	Hydrostatic stress (MPa)	Grain radius (m)	Gas produced (at/m3)	Gas in grains (at/m3)	Gas in intra-granular solution (at/m3)	Gas in intra-granular bubbles (at/m3)	Gas at grain boundaries (at/m3)	Gas released (at/m3)	Intra-granular bubble density (bubble/m3)	Intra-granular bubble radius (m)	Intra-granular gas swelling (/)	Inter-granular bubble concentration (bubble/m2)	Inter-granular atoms per bubble (at/bubble)	Inter-granular vacancies per bubble (vac/bubble)	Inter-granular bubble radius (m)	Inter-granular bubble area (m2)	Inter-granular bubble volume (m3)	Inter-granular fractional coverage (/)	Inter-granular saturation fractional coverage (/)	Inter-granular gas swelling (/)	Inter-granular fractional intactness (/)	Burnup (GWd/tUO2)	Effective burnup (GWd/tUO2)
0	1000	1e+019	0	5e-006	0	0	0	0	0	0	0	0	0	4e+013	0	0	0	0	0	0	0.5	0	1	0	0
0.01	1000.8	1e+019	0	5e-006	1.08e+020	1.04798e+020	1.04798e+020	0	3.20217e+018	0	1.7759e+022	0	0	3.99996e+013	0.133425	0	2.52287e-010	1.1734e-019	1.13411e-029	4.69356e-006	0.5	2.72185e-010	1	1.18505e-005	1.18505e-005
0.02	1001.6	1e+019	0	5e-006	2.16e+020	2.09596e+020	2.09502e+020	9.35252e+016	6.40442e+018	0	3.52802e+022	3.04429e-012	4.16945e-012	3.99994e+013	0.266855	0.016243	3.20936e-010	1.89887e-019	2.3347e-029	7.59538e-006	0.5	5.60319e-010	1	2.3701e-005	2.3701e-005
0.03	1002.4	1e+019	0	5e-006	3.24e+020	3.14393e+020	3.14111e+020	2.82563e+017	9.60673e+018	0	5.25625e+022	3.85331e-012	1.25969e-011	3.99992e+013	0.400289	0.0310191	3.68332e-010	2.50113e-019	3.52932e-029	1.00043e-005	0.5	8.4702e-010	1	3.55515e-005	3.55515e-005
0.04	1003.2	1e+019	0	5e-006	4.32e+020	4.19191e+020	4.18626e+020	5.65326e+017	1.28091e+019	0	6.96104e+022	4.42142e-012	2.52028e-011	3.9999e+013	0.533726	0.0475032	4.06124e-010	3.04071e-019	4.73096e-029	1.21625e-005	0.5	1.1354e-009	1	4.7402e-005	4.7402e-005
0.05	1004	1e+019	0	5e-006	5.4e+020	5.23988e+020	5.23047e+020	9.41906e+017	1.60116e+019	0	8.64271e+022	4.87685e-012	4.19911e-011	3.99989e+013	0.667168	0.0655224	4.38105e-010	3.53845e-019	5.93892e-029	1.41534e-005	0.5	1.4253e-009	1	5.92525e-005	5.92525e-005
0.06	1004.8	1e+019	0	5e-006	6.48e+020	6.28786e+020	6.27374e+020	1.41198e+018	1.92141e+019	0	1.03015e+023	5.26417e-012	6.29476e-011	3.99987e+013	0.800614	0.0848848	4.66114e-010	4.00537e-019	7.1524e-029	1.6021e-005	0.5	1.71652e-009	1	7.1103e-005	7.1103e-005
0.07	1005.6	1e+019	0	5e-006	7.56e+020	7.33583e+020	7.31608e+020	1.97522e+018	2.24167e+019	0	1.19378e+023	5.60511e-012	8.80574e-011	3.99986e+013	0.934063	0.105447	4.91207e-010	4.44823e-019	8.37081e-029	1.77923e-005	0.5	2.00892e-009	1	8.29535e-005	8.29535e-005
0.08	1006.4	1e+019	0	5e-006	8.64e+020	8.38381e+020	8.35749e+020	2.63129e+018	2.56194e+019	0	1.35518e+023	5.91213e-012	1.17306e-010	3.99984e+013	1.06752	0.127098	5.14049e-010	4.87154e-019	9.59372e-029	1.94854e-005	0.5	2.3024e-009	1	9.4804e-005	9.4804e-005
0.09	1007.2	1e+019	0	5e-006	9.72e+020	9.43178e+020	9.39798e+020	3.37986e+018	2.88222e+019	0	1.51439e+023	6.1931e-012	1.50678e-010	3.99983e+013	1.20097	0.149753	5.35092e-010	5.27854e-019	1.08208e-028	2.11133e-005	0.5	2.59687e-009	1	0.000106655	0.000106655
0.1	1008	1e+019	0	5e-006	1.08e+021	1.04798e+021	1.04375e+021	4.22062e+018	3.2025e+019	0	1.67142e+023	6.45333e-012	1.8816e-010	3.99982e+013	1.33444	0.173341	5.54657e-010	5.67161e-019	1.20517e-028	2.26854e-005	0.5	2.89227e-009	1	0.000118505	0.000118505
0.11	1008.8	1e+019	0	5e-006	1.188e+021	1.15277e+021	1.14762e+021	5.15326e+018	3.52279e+019	0	1.82631e+023	6.69663e-012	2.29738e-010	3.99981e+013	1.4679	0.197804	5.72983e-010	6.0526e-019	1.32862e-028	2.42092e-005	0.5	3.18853e-009	1	0.000130356	0.000130356
0.12	1009.6	1e+019	0	5e-006	1.296e+021	1.25757e+021	1.25139e+021	6.1775e+018	3.84309e+019	0	1.97909e+023	6.92579e-012	2.75399e-010	3.99979e+013	1.60137	0.223093	5.90253e-010	6.42295e-019	1.45241e-028	2.56905e-005	0.5	3.4856e-009	1	0.000142206	0.000142206
0.13	1010.4	1e+019	0	5e-006	1.404e+021	1.36237e+021	1.35507e+021	7.29305e+018	4.1634e+019	0	2.12979e+023	7.14296e-012	3.25131e-010	3.99978e+013	1.73484	0.249167	6.06609e-010	6.78384e-019	1.57653e-028	2.71339e-005	0.5	3.78346e-009	1	0.000154057	0.000154057
0.14	1011.2	1e+019	0	5e-006	1.512e+021	1.46716e+021	1.45866e+021	8.49966e+018	4.48371e+019	0	2.27842e+023	7.34981e-012	3.78923e-010	3.99977e+013	1.86832	0.27599	6.22166e-010	7.13625e-019	1.70095e-028	2.85434e-005	0.5	4.08205e-009	1	0.000165907	0.000165907
0.15	1012	1e+019	0	5e-006	1.62e+021	1.57196e+021	1.56216e+021	9.79707e+018	4.80403e+019	0	2.42502e+023	7.54769e-012	4.36763e-010	3.99976e+013	2.0018	0.303529	6.37015e-010	7.48096e-019	1.82567e-028	2.9922e-005	0.5	4.38135e-009	1	0.000177758	0.000177758
0.16	1012.8	1e+019	0	5e-006	1.728e+021	1.67676e+021	1.66557e+021	1.11851e+019	5.12436e+019	0	2.56962e+023	7.73767e-012	4.98642e-010	3.99975e+013	2.13529	0.331757	6.51235e-010	7.81867e-019	1.95068e-028	3.12727e-005	0.5	4.68134e-009	1	0.000189608	0.000189608
0.17	1013.6	1e+019	0	5e-006	1.836e+021	1.78155e+021	1.76889e+021	1.26634e+019	5.4447e+019	0	2.71224e+023	7.92067e-012	5.64549e-010	3.99974e+013	2.26877	0.360648	6.64888e-010	8.14995e-019	2.07596e-028	3.25977e-005	0.5	4.98199e-009	1	0.000201459	0.000201459
0.18	1014.4	1e+019	0	5e-006	1.944e+021	1.88635e+021	1.87212e+021	1.4232e+019	5.76505e+019	0	2.8529e+023	8.09742e-012	6.34476e-010	3.99973e+013	2.40227	0.390181	6.7803e-010	8.47531e-019	2.20151e-028	3.3899e-005	0.5	5.28327e-009	1	0.000213309	0.000213309
